month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2025-02-01,A DIVISION,5,offpeak,2396255.008758545,1.176564539309593,0.46540192272177,2819348.670448303,1115221.688407898,328651.3909897804,0.137152093491105,0.862847906508895
2025-02-01,A DIVISION,5,peak,3294655.666015625,0.976651815450975,0.366549344016547,3217731.4375,1207653.8731384277,371115.6901245117,0.112641722761067,0.887358277238933
2025-02-01,A DIVISION,6,offpeak,4609438.1943359375,1.062525351890244,0.451925373857112,4897644.939453125,2083122.079246521,500128.5901489258,0.108500986251097,0.891499013748903
2025-02-01,A DIVISION,6,peak,5300336.1796875,1.113311624539334,0.575680873357479,5900925.8828125,3051302.161010742,586468.3033447266,0.110647378479926,0.889352621520074
2025-02-01,A DIVISION,7,offpeak,3949220.54296875,1.012210056029262,0.662234905093772,3997440.7470703125,2615311.691467285,522593.9027709961,0.132328366340905,0.867671633659095
2025-02-01,A DIVISION,7,peak,4558816.03515625,1.263748869212166,0.738361372227818,5761198.609375,3366053.6634521484,511487.48541259766,0.112197439306205,0.887802560693795
2025-02-01,A DIVISION,S 42nd,offpeak,599333.6899414062,0.414032077414906,-0.118272401319047,248143.37271118164,-70884.63470077515,10452.244059801102,0.017439773927648,0.982560226072352
2025-02-01,A DIVISION,S 42nd,peak,831418.8662109375,0.399069568155949,-0.128685567553565,331793.9678955078,-106991.6086730957,1000.7105531692505,0.001203617807868,0.998796382192132
2025-02-01,B DIVISION,A,offpeak,3040063.5249023438,1.055034628785759,0.641700910843309,3207372.2924804688,1950811.532951355,549589.6708374023,0.180782298243277,0.819217701756723
2025-02-01,B DIVISION,A,peak,4060887.01171875,0.870060904951132,0.260111839612497,3533219.0283203125,1056284.7910766602,501702.62255859375,0.123545082911886,0.876454917088114
2025-02-01,B DIVISION,B,offpeak,1852045.7403564453,1.709238255593776,0.911822859889826,3165587.4305267334,1688737.6436185837,402173.3240814209,0.217150859354056,0.782849140645944
2025-02-01,B DIVISION,B,peak,2532100.6298828125,1.764703690460626,0.937812253260362,4468407.326171875,2374634.997192383,557714.3479003906,0.220257576384791,0.779742423615209
2025-02-01,B DIVISION,C,offpeak,2309112.0603027344,1.515847464080965,0.523877064187194,3500261.660888672,1209690.8470306396,390449.7047729492,0.169090842963143,0.830909157036857
2025-02-01,B DIVISION,C,peak,2115785.8330078125,1.515203725329055,0.293106086006055,3205846.576171875,620149.7043399811,324718.13037109375,0.153474007295659,0.846525992704341
2025-02-01,B DIVISION,D,offpeak,2493370.9809570312,1.71118072045775,0.729797688390709,4266608.3515625,1819656.3782029152,581847.7572631836,0.23335787642794,0.76664212357206
2025-02-01,B DIVISION,D,peak,2580841.798828125,1.612749591821989,0.769275773866875,4162251.5576171875,1985379.0720214844,543843.0465087891,0.210723124042601,0.789276875957399
2025-02-01,B DIVISION,E,offpeak,3438738.734375,1.208972858083109,0.554090117679155,4157341.7958984375,1905371.1499977112,573923.3599853516,0.166899379196269,0.833100620803731
2025-02-01,B DIVISION,E,peak,4077744.40625,1.372814797740779,-0.139229211694885,5597987.8623046875,-567741.139175415,547992.7772216797,0.134386249511315,0.865613750488685
2025-02-01,B DIVISION,F,offpeak,3819055.58203125,1.81419848705151,0.355960872209179,6928524.858886719,1359434.3559951782,809688.7681884766,0.212012826416584,0.787987173583416
